,movie,overview
0,Побег из Шоушенка,бухгалтер энди дюфрейн обвинить в убийство собственный жена и её любовник оказаться в тюрьма под название шоушенк он сталкиваться с жестокость и беззаконие царить по оба сторона решётка каждый кто попадать в этот стена становиться они раб до конец жизнь но энди обладать живой ум и добрый душа находить подход как к заключить так и к охранник добиваться они особый к себя расположение
1,Зеленая миля,пол эджкомба начальник блок смертник в тюрьма холодный гора каждый из узник который однажды проходить зелёный миля по путь к место казнь пол повидать много заключить и надзиратель за время работа однако гигант джон коффи обвинить в страшный преступление стать один из самый необычный обитатель блок
2,Друзья (сериал 1994 – 2004),шестеро друг рейчел моника фиби джоуя чендлера и росс жить по соседство вместе убивать время делиться секрет и иногда очень сильно влюбляться
3,Игра престолов (сериал 2011 – ...),к конец подходить время благоденствие и лето длиться почти десятилетие угасать вокруг средоточие власть семь королевство железный трон зреть заговор и в это непростой время король решать искать поддержка у друг юность эддард старка в мир где всё от король до наёмник рваться к власть плести интрига и готовый вонзить нож в спина есть место и благородство сострадание и любовь между тем никто не замечать пробуждение тьма из легенда далеко на север и лишь стена защищать живой к юг от она
4,Моцарт. Рок-опера (видео),судьба моцарт преподносить он испытание коллоредо сменять принцаархиепископ зальцбург новый правитель строгий и авторитарный человек не воспринимать музыка молодой композитор и не терпеть он пыл и дерзость жизнь в зальцбург становиться для двадцатилетний юноша невыносимый он решать оставить свой родный город и уехать с мать на поиск хороший будущее в европейский столица
5,Форрест Гамп,сидя на автобусный остановка форресть гампа не очень умный но добрый и открытый парень рассказывать случайный встречный история свой необыкновенный жизнь с сам малолетство парень страдать от заболевание нога соседский мальчишка дразнить он но в один прекрасный день форресть открыть в себя невероятный способность к бег подруга детство дженни всегда он поддерживать и защищать но вскоре дорога они разойтись
6,Шерлок (сериал 2010 – ...),событие разворачиваться в наш день он пройти афганистан остаться инвалид по возвращение в родный край встречаться с загадочный но своеобразный гениальный человек тот в поиск сосед по квартира лондон 2010 год происходить необъяснимый убийство скотландярд без понятие за что хвататься существовать лишь один человек который в сила разрешить проблема и найти ответ на сложный вопрос
7,Во все тяжкие (сериал 2008 – 2013),школьный учитель химия уолтер уайт узнавать что больной рак лёгкий учитывать сложный финансовый состояние дело семья а также перспектива уолтер решать заняться изготовление метамфетамин для это он привлекать свой бывший ученик джесси пинкмана когдато исключить из школа при активный содействие уайт пинкман сам заниматься варка мета но накануне в ход рейд убн он лишиться подельник и лаборатория
8,Гордость и предубеждение (мини-сериал),элизабет один из пять дочь небогатый провинциальный помещик мистер беннета к сожаление в семейство нет ни один сын поэтому в случай смерть мистер беннета всё они имущество перейти они дальний родственник по мужской линия когда по соседство появляться богатый мистер бингли и он друг загадочный и ещё более богатый мистер дарси миссис беннет начинать питать больший надежда на скорый замужество один из свой дочь мистер бингли обращать внимание на старший сестра беннет красавица джейн но гордый мистер дарси не одобрять увлечение друг и стремиться положить он конец однако сам неожиданно увлекаться элизабет
9,1+1,пострадать в результат несчастный случай богатый аристократ филипп нанимать в помощник человек который менее весь подходить для этот работа молодой житель предместье дрисс только что освободиться из тюрьма несмотря на то что филипп приковать к инвалидный кресло дрисс удаваться привнести в размеренный жизнь аристократ дух приключение
10,Список Шиндлера,фильм рассказывать реальный история загадочный оскар шиндлера член нацистский партия преуспевать фабрикант спасти в время второй мировой война почти 1200 еврей
11,Доктор Хаус (сериал 2004 – 2012),сериал рассказывать о команда врач который должный правильно поставить диагноз пациент и спасти он возглавлять команда доктор грегори хаус который ходить с трость после тот как он мышечный инфаркт в правый нога слишком поздно правильно диагностировать как врач хаус просто гений но сам не отличаться проникновенность в общение с больной и с удовольствие избегать они если только есть возможность он сам всё время проводить в борьба с собственный боль а трость в он рука только подчёркивать он жёсткий ядовитый манера общение порой он поведение можно назвать почти бесчеловечный и при это он прекрасный врач обладать нетипичный ум и безупречный инстинкт что снискать он глубокий уважение быть инфекционист он ещё и замечательный диагност который любить разгадывать медицинский загадка чтобы спасти комуть жизнь если бы всё быть по он воля то хаус лечить бы больной не выходить из свой кабинет
12,Гравити Фолз (сериал 2012 – 2016),приключение двойняшка дипперо и мэйбл который проводить летний каникулы у двоюродный дедушка в городок под название гравитя фолзти
13,Король Лев,у величественный короляльва муфас рождаться наследник по имя симб уже в детство любознательный малыш становиться жертва интрига свой завистливый дядя шрам мечтать о власть симб познавать гора утрата предательство и изгнание но в конец конец обретать верный друг и находить любимый закалённый испытание он в нелёгкая борьба отвоёвывать свой законный место в круг жизнь осознать что значит быть настоящий король
