query,relevant_movie
банкир несправедливо осужден за убийство и попадает в тюрьму шоушенк,Побег из Шоушенка
история жизни слабоумного человека который стал героем войны и миллиардером,Форрест Гамп
богатый аристократ в инвалидном кресле нанимает в помощники парня из тюрьмы,1+1
команда специалистов проникает в сны людей чтобы не украсть а внедрить идею,Начало
профессиональный убийца берет под опеку девочку чью семью расстреляли,Леон
инженер изобретает машину времени и случайно меняет местами царя ивана грозного со своим соседом,Иван Васильевич меняет профессию
хакер по имени нео узнает что наш мир это всего лишь иллюзия созданная машинами,Матрица
одинокий робот уборщик на покинутой людьми земле влюбляется в другого робота,ВАЛЛ·И
два судебных пристава расследуют исчезновение пациентки в клинике для сумасшедших на острове,Остров проклятых
агент фбр обращается за помощью к маньяку каннибалу чтобы поймать другого убийцу,Молчание ягнят
киборг из будущего прибывает чтобы уничтожить мать будущего лидера сопротивления,Терминатор 2: Судный день
телеведущий застревает в одном и том же дне который повторяется снова и снова,День сурка
мальчик обнаруживает что он волшебник и отправляется учиться в школу хогвартс,Гарри Поттер и философский камень
пираты пытаются вернуть украденное золото ацтеков чтобы снять с себя проклятие,Пираты Карибского моря: Проклятие Черной жемчужины
мальчик остается один дома на рождество и защищает дом от грабителей,Один дома
